minimum_nights,number_of_reviews,availability_365,price
0.0016012810248198558,0.017488076311605726,0.0027397260273972603,295
0.0008006405124099279,0.003179650238473768,0.0,70
0.0008006405124099279,0.0,0.0,58
0.0016012810248198558,0.13831478537360892,0.7315068493150685,75
0.0032025620496397116,0.020667726550079493,0.0,38
0.023218574859887906,0.004769475357710652,0.7397260273972602,100
0.004803843074459567,0.001589825119236884,0.1178082191780822,260
0.0,0.06677265500794913,0.010958904109589041,147
0.0,0.0,0.0,34
0.0,0.0,0.0,65
0.023218574859887906,0.009538950715421305,0.410958904109589,125
0.023218574859887906,0.0,0.9260273972602739,310
0.0,0.0,0.9013698630136986,50
0.0,0.006359300476947536,0.0,79
0.023218574859887906,0.001589825119236884,0.1726027397260274,329
0.0,0.0,0.4657534246575343,115
0.0016012810248198558,0.004769475357710652,0.0,140
0.0016012810248198558,0.151033386327504,0.30684931506849317,225
0.0,0.0,0.7698630136986302,149
0.0008006405124099279,0.011128775834658189,0.33972602739726027,50
0.023218574859887906,0.0,0.9972602739726028,88
0.0008006405124099279,0.001589825119236884,0.0,200
0.010408326661329063,0.006359300476947536,0.0,160
0.0008006405124099279,0.08108108108108109,0.24383561643835616,125
0.0024019215372297837,0.022257551669316377,0.0,75
0.0008006405124099279,0.007949125596184421,0.15616438356164383,80
0.0008006405124099279,0.001589825119236884,0.0,140
0.0008006405124099279,0.02384737678855326,0.11232876712328767,134
0.007205764611689351,0.001589825119236884,0.0,65
0.023218574859887906,0.011128775834658189,0.8958904109589041,159
0.0008006405124099279,0.025437201907790145,0.14246575342465753,300
0.0,0.0,0.4931506849315069,95
0.011208967173738989,0.0,0.0,70
0.0008006405124099279,0.09220985691573927,0.5452054794520548,248
0.0,0.001589825119236884,0.9972602739726028,750
0.0008006405124099279,0.004769475357710652,0.0,90
0.023218574859887906,0.007949125596184421,0.4410958904109589,80
0.004803843074459567,0.0,0.18356164383561643,85
0.0016012810248198558,0.004769475357710652,0.0,50
0.0008006405124099279,0.006359300476947536,0.0,295
0.010408326661329063,0.0,0.0,80
0.0016012810248198558,0.0,0.0,109
0.0016012810248198558,0.025437201907790145,0.0,100
0.0008006405124099279,0.04292527821939587,0.9287671232876712,45
0.0016012810248198558,0.06041335453100159,0.6657534246575343,135
0.0024019215372297837,0.014308426073131956,0.33972602739726027,115
0.0032025620496397116,0.011128775834658189,0.9342465753424658,185
0.0016012810248198558,0.004769475357710652,0.11506849315068493,150
0.023218574859887906,0.0,0.8547945205479452,290
0.0,0.007949125596184421,0.0,80
0.0,0.041335453100158986,0.0,65
0.024019215372297835,0.004769475357710652,0.663013698630137,45
0.0,0.20190779014308427,0.019178082191780823,80
0.0,0.007949125596184421,1.0,75
0.004803843074459567,0.02384737678855326,0.5835616438356165,69
0.0024019215372297837,0.044515103338632754,0.0,65
0.0024019215372297837,0.0,0.0,60
0.0016012810248198558,0.004769475357710652,0.0,195
0.011208967173738989,0.030206677265500796,0.2904109589041096,69
0.0032025620496397116,0.003179650238473768,0.0,160
0.0016012810248198558,0.01907790143084261,0.0,150
0.0,0.0,0.0,250
